dimensionality,sampling,method,max_fitness
2,manual,simple,455.28277587890625
10,manual,mapping,588.1041259765625
2,trained,ica,238.44390869140625
3,trained,ica,304.3698425292969
6,trained,ica,351.21319580078125
10,trained,ica,349.9242248535156
15,trained,ica,422.4223937988281
20,trained,ica,564.169921875
2,trained,pca,249.3690185546875
3,trained,pca,240.5611114501953
6,trained,pca,481.31622314453125
10,trained,pca,331.42999267578125
15,trained,pca,618.8043212890625
20,trained,pca,553.2064819335938
2,trained,inv_pca,67.50067138671875
3,trained,inv_pca,66.8649673461914
6,trained,inv_pca,207.03427124023438
10,trained,inv_pca,499.0095520019531
15,trained,inv_pca,571.0184936523438
20,trained,inv_pca,556.6859130859375
2,trained,fa,144.94732666015625
3,trained,fa,249.71910095214844
6,trained,fa,506.27716064453125
10,trained,fa,407.736572265625
15,trained,fa,520.13720703125
20,trained,fa,492.4595947265625
2,trained,dl,203.91632080078125
3,trained,dl,348.591064453125
6,trained,dl,303.6048278808594
10,trained,dl,625.219482421875
15,trained,dl,614.287353515625
20,trained,dl,610.648193359375
2,random,ica,94.62386322021484
3,random,ica,311.61474609375
6,random,ica,406.70208740234375
10,random,ica,542.34130859375
15,random,ica,397.163818359375
20,random,ica,551.0184326171875
2,random,pca,56.38008499145508
3,random,pca,343.19036865234375
6,random,pca,355.56317138671875
10,random,pca,397.21185302734375
15,random,pca,623.4757080078125
20,random,pca,553.3782348632812
2,random,inv_pca,359.24884033203125
3,random,inv_pca,377.7434387207031
6,random,inv_pca,528.3695068359375
10,random,inv_pca,476.10845947265625
15,random,inv_pca,645.2430419921875
20,random,inv_pca,520.351806640625
2,random,fa,223.58450317382812
3,random,fa,334.4299011230469
6,random,fa,609.783935546875
10,random,fa,597.1561279296875
15,random,fa,567.94873046875
20,random,fa,545.9326782226562
2,random,dl,130.20753479003906
3,random,dl,347.99853515625
6,random,dl,476.72222900390625
10,random,dl,452.720703125
15,random,dl,451.0522766113281
20,random,dl,590.0094604492188
2,no_data,random_coors,480.3099365234375
3,no_data,random_coors,385.90557861328125
6,no_data,random_coors,430.8204040527344
10,no_data,random_coors,413.3125
15,no_data,random_coors,492.10833740234375
20,no_data,random_coors,602.05859375
2,no_data,random_coors,386.1965026855469
2,no_data,random_coors,377.0413818359375
3,no_data,random_coors,345.0990295410156
3,no_data,random_coors,412.57928466796875
6,no_data,random_coors,531.6846923828125
6,no_data,random_coors,279.6885070800781
10,no_data,random_coors,535.0081176757812
10,no_data,random_coors,496.988037109375
15,no_data,random_coors,492.40386962890625
15,no_data,random_coors,575.5460205078125
20,no_data,random_coors,589.375732421875
20,no_data,random_coors,667.037841796875
2,trained,isomap,270.9627685546875
3,trained,isomap,276.0078125
6,trained,isomap,569.942138671875
10,trained,isomap,534.43505859375
15,trained,isomap,475.03436279296875
20,trained,isomap,631.2431030273438
2,random,isomap,313.444580078125
3,random,isomap,344.94219970703125
6,random,isomap,461.82916259765625
10,random,isomap,482.99285888671875
15,random,isomap,483.1114807128906
20,random,isomap,763.311279296875
25,trained,ica,500.7392578125
25,trained,pca,552.4339599609375
25,trained,inv_pca,597.66015625
25,trained,fa,542.9047241210938
25,trained,dl,454.4228515625
25,random,ica,472.53094482421875
25,random,pca,650.6759033203125
25,random,inv_pca,525.7821044921875
25,random,fa,666.897216796875
25,random,dl,585.2744140625
25,no_data,random_coors,624.7589111328125
25,no_data,random_coors,539.5193481445312
25,no_data,random_coors,531.5482177734375
