method,sampling,dimensionality,fitness
pca,random,2,166.45120239257812
pca,random,3,396.9949951171875
pca,random,4,401.7935791015625
pca,random,7,401.7935791015625
pca,random,10,531.1421508789062
pca,random,13,525.7601318359375
pca,random,17,663.96630859375
pca,trained,2,218.4042205810547
pca,trained,3,226.52207946777344
pca,trained,4,269.95294189453125
pca,trained,7,423.9296569824219
pca,trained,10,563.0947265625
pca,trained,13,515.1879272460938
pca,trained,17,575.7302856445312
inv_pca,random,2,218.4042205810547
inv_pca,random,3,226.52207946777344
inv_pca,random,4,269.95294189453125
inv_pca,random,7,423.9296569824219
inv_pca,random,10,563.0947265625
inv_pca,random,13,515.1879272460938
inv_pca,random,17,575.7302856445312
inv_pca,trained,2,115.06756591796875
inv_pca,trained,3,71.91011810302734
inv_pca,trained,4,200.1348419189453
inv_pca,trained,7,577.9093627929688
inv_pca,trained,10,652.4691772460938
inv_pca,trained,13,477.16949462890625
inv_pca,trained,17,624.89208984375
fa,random,2,169.1962890625
fa,random,3,383.5694580078125
fa,random,4,533.7242431640625
fa,random,7,533.7242431640625
fa,random,10,670.8857421875
fa,random,13,492.8498229980469
fa,random,17,689.9984741210938
fa,trained,2,212.6880340576172
fa,trained,3,342.98779296875
fa,trained,4,440.8414001464844
fa,trained,7,458.2712097167969
fa,trained,10,523.36572265625
fa,trained,13,512.6206665039062
fa,trained,17,642.9169311523438
dl,random,2,158.5663299560547
dl,random,3,452.73809814453125
dl,random,4,352.7229919433594
dl,random,7,421.9383239746094
dl,random,10,627.706298828125
dl,random,13,686.9259643554688
dl,random,17,601.9407348632812
dl,trained,2,218.8179168701172
dl,trained,3,363.4551696777344
dl,trained,4,288.89605712890625
dl,trained,7,457.3798828125
dl,trained,10,672.7739868164062
dl,trained,13,519.3916625976562
dl,trained,17,540.0390014648438
ica,random,2,203.8031463623047
ica,random,3,370.3017578125
ica,random,4,489.5774841308594
ica,random,7,526.0604858398438
ica,random,10,591.3157348632812
ica,random,13,531.2607421875
ica,random,17,497.742431640625
ica,trained,2,225.63096618652344
ica,trained,3,277.1739807128906
ica,trained,4,308.005859375
ica,trained,7,412.63671875
ica,trained,10,632.5510864257812
ica,trained,13,610.2005615234375
ica,trained,17,626.19091796875
randomized,manual,2,272.2668151855469
randomized,manual,3,300.1405944824219
randomized,manual,4,583.1261596679688
randomized,manual,7,544.1678466796875
randomized,manual,10,579.8546142578125
randomized,manual,13,743.638427734375
randomized,manual,17,664.3826904296875
simple,manual,2,403.0749206542969
mapping,manual,10,600.7960815429688
